Ticker,MCap_Cr,ROE_Latest,ROCE_Latest,OPM_Latest,Revenue_CAGR_AllYears,PAT_CAGR_AllYears
KIMS,31414.91,9.72,,11.31,34.8,-58.3
DALBHARAT,31147.96,6.5,,12.65,3.8,-10.8
ANGELONE,31008.21,15.53,,31.96,33.5,82.7
TATATECH,30900.55,14.57,,13.06,22.3,8.2
LICHSGFIN,30776.02,14.41,,81.48,4.4,8.6
STARHEALTH,30573.45,,,3.25,13.8,
PWL,30538.66,-0.79,,-10.48,50.7,
HEXT,30390.58,22.27,,13.61,12.6,7.9
ESCORTS,30382.96,12.02,,10.49,21.4,0.6
GRSE,30341.39,31.79,,16.15,29.1,24.2
ANANDRATHI,29311.26,46.74,,40.33,47.6,38.4
PGHH,29193.56,114.93,,22.18,-5.1,-1.9
NUVAMA,28956.85,27.32,,33.1,6.2,4.3
ITI,28813.34,16.59,,1.44,-40.0,
MANAPPURAM,28668.54,6.97,,45.02,109.3,
CHOLAHLDNG,28621.04,18.04,,37.15,15.2,12.0
SJVN,28534.24,4.51,,27.75,196.7,
CRISIL,28476.1,,,26.39,30.1,45.9
NBCC,28393.2,25.23,,9.51,-2.5,37.8
MRPL,28218.59,14.17,,8.35,-3.4,-68.2
IKS,28131.22,31.44,,35.14,18.5,38.6
CENTRALBK,28095.55,11.91,,34.41,44.8,-35.4
KARURVYSYA,27930.46,19.28,,57.61,19.5,41.2
ZFCVINDIA,27908.9,14.98,,12.7,32.7,46.1
PTCIL,27889.14,7.02,,27.93,84.9,143.8
GODIGIT,27825.66,11.71,,5.41,22.6,28.9
JUBLFOOD,27579.58,16.89,,8.03,20.3,
KIRLOSENG,27484.08,16.82,,15.42,20.7,21.2
SHYAMMETL,27376.42,8.97,,9.13,26.6,41.4
METROBRAND,27268.3,22.09,,19.93,20.3,23.2
TVSHLTD,26928.93,29.42,,0.06,33.6,49.9
LALPATHLAB,26741.49,21.48,,20.24,16.6,-15.4
TIMKEN,26553.72,14.41,,19.47,16.0,-15.3
HFCL,26299.11,7.27,,14.76,127.8,
AMBER,26168.68,5.58,,6.24,10.5,11.0
NETWEB,26120.97,32.83,,11.99,86.6,64.3
SAILIFE,25837.79,15.13,,21.8,3.9,17.6
PNBHOUSING,25795.8,12.7,,77.55,21.6,19.0
ACUTAAS,25750.92,23.52,,40.18,40.3,105.6
CDSL,25663.11,23.91,,38.92,5.5,-19.9
DATAPATTNS,25448.63,16.73,,54.21,-13.0,21.2
TATAELXSI,25323.13,21.3,,24.12,8.3,27.8
NIACL,25181.44,3.42,,5.45,13.7,60.8
GILLETTE,25175.34,66.44,,32.62,3.2,21.3
ACC,25099.65,10.93,,4.86,40.3,-68.3
APOLLOTYRE,25069.2,8.72,,9.16,14.2,242.6
AWL,24687.86,10.52,,1.84,18.0,53.7
RRKABEL,24523.54,20.83,,7.95,33.6,32.2
MSUMI,24431.04,32.39,,6.51,33.1,1.5
SYRMA,24399.8,14.14,,10.43,58.4,43.7
KIOCL,24228.0,0.96,,10.12,-10.6,
AEGISVOPAK,24137.6,10.79,,50.85,54.2,47.9
EMMVEE,23785.51,51.12,,28.29,62.3,62.5
ACMESOLAR,23689.44,10.41,,64.99,12.5,6.3
FORCEMOT,23574.97,33.51,,13.43,8.2,-37.0
SUMICHEM,23053.04,17.24,,17.15,0.6,11.5
IGL,22892.83,13.93,,6.92,5.4,-25.2
IFCI,22785.82,,,117.94,,
DEEPAKNTR,22776.27,9.75,,14.78,-2.7,8.5
RBLBANK,22661.6,,,13.97,40.8,367.9
ASAHIINDIA,22525.37,10.49,,15.65,14.8,36.9
CESC,22289.47,12.55,,12.31,5.6,17.8
KPIL,22227.75,14.51,,6.6,10.1,89.4
IIFL,22065.08,12.29,,39.84,-14.1,183.1
NEULANDLAB,22064.84,,,36.36,136.4,664.4
MTARTECH,22022.33,12.12,,17.24,67.2,222.9
PPLPHARMA,21740.34,-4.0,,8.8,-0.1,
CUPID,21510.54,27.3,,30.21,112.4,214.2
HBLENGINE,21463.2,44.07,,9.94,27.0,39.8
RUBICON,21343.4,26.97,,20.71,43.5,96.6
TRITURBINE,21337.11,26.22,,17.51,26.3,7.4
CRAFTSMAN,21273.22,12.55,,10.8,27.3,74.4
GRINDWELL,21269.31,17.3,,16.42,18.7,28.3
CREDITACC,20992.09,10.51,,56.67,125.9,616.2
RAMCOCEM,20807.91,9.0,,7.0,8.9,452.1
AADHARHFC,20712.66,15.75,,62.32,20.9,26.3
PFIZER,20628.57,17.16,,35.15,6.3,-39.6
KAYNES,20625.89,9.57,,11.21,26.2,-26.3
ASTRAZEN,20623.75,22.83,,9.56,20.4,-23.0
KPITTECH,20389.82,19.73,,15.86,12.0,-33.5
HATSUN,20362.53,19.42,,3.47,16.6,2.6
BOSCH-HCIL,20346.56,-0.5,,5.77,3.5,-27.2
AFFLE,20340.85,13.79,,17.64,20.3,15.7
BELRISE,20309.71,12.52,,7.78,12.1,-9.4
SUNTV,20283.53,11.85,,33.17,-9.6,-37.4
OLAELEC,20211.05,-43.16,,-172.83,-56.6,
CARBORUNIV,20060.87,4.37,,5.7,14.9,
CGCL,20058.99,16.5,,39.97,72.0,37.1
SAMMAANCAP,19988.52,-35.01,,109.82,,
CUB,19984.18,13.24,,48.06,23.6,25.1
GESHIP,19831.79,18.85,,37.11,23.6,187.5
DEEPAKFERT,19644.75,10.77,,8.25,12.9,-49.7
GMDCLTD,19471.14,14.19,,6.81,-9.2,-14.3
ERIS,19463.16,18.07,,27.12,7.1,200.0
CEMPRO,19281.44,28.24,,11.03,13.1,113.3
ANANTRAJ,19244.42,11.13,,23.28,19.6,20.5
ATUL,19188.66,11.53,,12.06,15.0,66.1
BAYERCROP,19089.6,23.7,,15.02,5.1,13.1
ELGIEQUIP,19035.86,21.0,,13.41,12.1,25.4
TATACHEM,19003.54,-7.68,,-0.96,-2.0,
GRANULES,18992.4,13.52,,18.38,22.8,31.3
SAGILITY,18945.34,10.28,,17.81,29.1,43.6
CHAMBLFERT,18838.67,20.45,,5.92,13.7,30.2
CAMS,18786.06,38.69,,39.24,11.0,10.6
TDPOWERSYS,18634.93,24.72,,15.43,69.2,36.5
URBANCO,18489.27,-11.92,,-24.72,43.4,
ONESOURCE,18486.64,-1.26,,4.69,0.5,-95.3
EIHOTEL,18476.38,12.95,,33.07,1.5,-5.8
REDINGTON,18460.04,13.09,,1.7,25.1,-41.1
GABRIEL,18442.55,19.58,,7.31,12.7,3.3
SYNGENE,18426.88,6.62,,20.55,1.8,-19.5
SARDAEN,18339.68,16.0,,20.68,-0.6,45.9
CAPLIPOINT,18302.1,19.94,,30.9,19.0,19.4
INDIACEM,18273.07,-0.66,,6.29,2.6,276.4
SANSERA,18164.8,11.13,,13.76,27.8,103.8
VTL,18162.56,7.33,,6.87,-0.4,-22.3
BBOX,18090.25,21.27,,7.47,9.5,6.0
RATNAMANI,18087.24,13.58,,10.96,-36.8,-48.5
CASTROLIND,18069.29,,,19.52,8.7,3.8
GPIL,18031.31,14.87,,24.26,9.7,23.1
ABDL,18025.92,13.55,,-0.16,,-48.0
SUNDRMFAST,17667.59,14.58,,12.15,10.6,29.7
KANSAINER,17508.67,8.8,,7.96,7.5,4.0
J&KBANK,17332.61,15.37,,23.3,,
PINELABS,17289.6,2.39,,5.45,-34.3,
KAJARIACER,17238.04,16.5,,16.1,12.4,265.9
CIEINDIA,17097.86,,,11.78,14.9,20.8
FSL,17089.81,15.9,,12.17,19.5,27.9
JSWCEMENT,17083.56,-17.95,,14.85,10.9,708.8
EMAMILTD,17058.42,27.61,,15.62,-3.9,-11.8
