Ticker,MCap_Cr,ROE_Latest,ROCE_Latest,OPM_Latest,Revenue_CAGR_AllYears,PAT_CAGR_AllYears
SIYSIL,2803.64,16.83,,13.88,15.9,35.7
EUROPRATIK,2793.13,27.8,,25.36,28.1,43.6
ROSSARI,2791.46,11.85,,7.84,18.2,33.5
MEDIASSIST,2786.38,12.72,,11.28,28.1,140.4
ORIENTCEM,2768.98,17.08,,9.77,-21.6,31.7
EFCIL,2764.37,33.65,,36.98,38.8,5.0
MOREPENLAB,2746.34,7.86,,3.86,4.0,-18.9
APCOTEXIND,2744.15,17.27,,10.84,13.8,107.4
MARATHON,2716.04,11.68,,21.6,-23.6,-36.2
DIAMONDYD,2700.46,1.4,,0.88,4.9,
NOCIL,2698.29,3.15,,2.23,-2.8,-19.2
MONARCH,2696.09,20.5,,65.0,58.2,84.1
KKCL,2675.77,14.43,,9.18,,
SANGAMIND,2673.84,7.93,,8.74,20.4,246.0
VSSL,2669.97,11.76,,10.65,7.0,45.8
DALMIASUG,2651.98,7.29,,13.45,-2.7,-49.8
HLEGLAS,2649.0,9.65,,8.48,17.1,-47.5
DDEVPLSTIK,2642.59,21.84,,9.09,3.6,5.4
HUBTOWN,2642.08,6.37,,48.5,65.4,511.9
BOROLTD,2641.33,8.81,,3.23,5.2,-5.4
ARVSMART,2632.31,12.14,,37.1,-4.7,130.7
CAMLINFINE,2626.47,-3.36,,0.09,-2.9,
BOMDYEING,2626.09,1.17,,-2.6,10.3,82.7
POKARNA,2623.4,9.86,,22.41,-43.9,-56.5
KIRIINDUS,2609.65,114.88,,-61.55,22.2,
PATELENG,2608.24,6.55,,13.33,-11.8,-2.3
SUNDROP,2588.64,1.38,,6.03,0.5,13.9
INA,2577.05,28.15,,12.05,100.1,58.5
AUTOAXLES,2552.41,15.8,,10.12,18.7,17.3
RML,2550.08,15.12,,5.46,-42.8,4.7
RAMCOIND,2532.3,7.0,,11.92,19.8,145.5
PRAKASH,2530.43,9.65,,10.97,8.9,2.8
ADVAIT,2521.8,22.07,,12.1,17.2,48.1
SAIPARENT,2516.01,4.83,,9.05,,
EVEREADY,2512.07,31.65,,5.84,9.4,1265.3
SPECTRUM,2511.86,20.42,,13.89,67.9,95.9
PROTEAN,2507.68,9.69,,7.78,38.4,49.1
DIVGIITTS,2504.74,7.62,,13.12,84.9,189.1
GIPCL,2492.61,,,24.52,26.6,358.2
SATIN,2489.25,12.28,,56.88,116.6,640.2
VIMTALABS,2484.78,18.55,,26.12,16.5,14.3
RELTD,2482.38,20.36,,-6.38,-34.0,
PARKHOTELS,2480.05,4.93,,18.37,3.6,-54.9
FMGOETZE,2478.41,12.44,,12.43,2.0,-17.3
GLOBUSSPR,2477.9,8.75,,6.51,-3.4,340.5
VINDHYATEL,2474.22,5.31,,6.42,-18.0,-5.9
BUILDPRO,2474.16,25.52,,3.37,27.9,42.2
GANECOS,2443.57,3.15,,8.3,23.1,-7.5
EPACKPEB,2426.87,17.02,,8.5,42.4,32.9
MUFIN,2426.69,6.7,,57.07,5.6,200.0
BEPL,2417.66,17.28,,18.18,-1.0,30.5
VEEDOL,2411.23,19.66,,8.73,13.9,-3.7
ORISSAMINE,2410.8,,,48.98,-0.1,
NIBE,2409.14,,,-30.37,-60.3,
VENUSREM,2405.54,16.79,,21.84,33.0,126.4
IMAGICAA,2405.48,0.05,,6.72,-2.7,-96.2
REPCOHOME,2387.65,,,66.57,13.3,2.0
RHETAN,2387.44,10.17,,28.23,30.8,
SIRCA,2380.65,15.77,,16.96,32.8,23.0
GREENPANEL,2375.17,-2.12,,1.34,6.5,-95.4
NITCO,2366.92,9.38,,-3.13,51.1,
BRIGHOTEL,2366.8,11.93,,25.16,1.7,50.0
FISCHER,2366.07,8.62,,0.08,98.7,
PRABHA,2355.57,0.14,,-3.28,41.7,
TEAMLEASE,2355.52,14.26,,1.05,2.3,25.6
MSPL,2350.51,3.36,,7.78,7.4,
BFUTILITIE,2342.36,,,-48.35,-98.4,
CONFIPET,2339.64,6.46,,4.13,31.5,39.3
BHARATRAS,2335.43,,,13.33,5.5,-1.3
KPEL,2333.61,43.48,,19.37,57.5,70.3
RAJRATAN,2331.4,11.59,,6.71,25.0,1.8
UTKARSHBNK,2327.62,-40.03,,-93.95,-48.5,
SPORTKING,2324.21,11.29,,9.74,1.3,-8.4
VINCOFE,2323.0,16.56,,16.89,57.2,16.1
UFBL,2320.17,-17.89,,1.62,23.1,
MANGLMCEM,2319.12,14.1,,6.92,-2.5,285.7
SERVOTECH,2315.59,11.87,,7.12,48.6,35.0
FILATEX,2305.55,,,7.03,-1.8,17.0
HPL,2305.17,9.51,,11.96,5.5,-16.9
BAJEL,2296.47,2.87,,2.59,25.7,190.5
INDOCO,2293.28,-10.12,,3.62,21.9,
TCPLPACK,2287.84,14.36,,10.75,7.5,-42.9
PANAMAPET,2282.12,15.6,,10.67,18.3,60.5
JISLJALEQS,2275.35,-0.68,,10.8,4.3,
HIKAL,2268.61,,,13.16,37.3,68.3
MOLDTKPAC,2246.61,10.98,,13.59,17.4,26.8
JAYKAY,2244.19,,,11.73,12.6,-76.7
ALEMBICLTD,2235.54,13.27,,28.11,-0.4,-2.2
HONDAPOWER,2224.78,7.71,,8.97,-1.5,-25.5
TALBROAUTO,2220.67,15.14,,13.77,14.2,18.8
BCG,2202.21,9.99,,21.25,61.7,71.6
KICL,2195.31,0.37,,87.11,1.7,-24.8
HINDOILEXP,2189.02,4.64,,-5.11,,-84.7
SAGCEM,2188.83,-0.04,,2.26,19.6,
EPACK,2188.52,0.34,,1.98,-8.1,-99.9
PIXTRANS,2185.75,16.54,,14.8,2.3,-10.7
VERANDA,2185.71,21.21,,24.29,16.0,99.9
APOLLOPIPE,2174.01,0.55,,0.86,10.2,-89.9
STOVEKRAFT,2171.67,8.61,,4.45,32.4,315.9
AWFIS,2168.72,14.01,,12.4,20.7,106.8
MMFL,2163.02,10.49,,12.35,15.9,34.1
RISHABH,2149.48,12.07,,11.49,9.3,205.5
KCP,2145.12,13.09,,14.1,7.7,126.0
STALLION,2130.75,8.93,,14.32,-27.4,-24.4
SANSTAR,2122.78,5.09,,7.78,-14.5,244.6
ARKADE,2122.14,0.6,,17.76,49.5,
RAMCOSYS,2112.78,12.49,,11.88,19.4,361.6
SOMANYCERA,2108.67,8.4,,7.95,6.4,76.8
HINDWAREAP,2106.13,-5.13,,4.92,-3.5,
TASTYBITE,2098.73,10.81,,7.68,-10.3,-3.0
GEOJITFSL,2093.97,6.59,,12.57,8.1,-43.5
GSPCROP,2092.88,15.5,,7.0,30.7,-12.4
SCILAL,2092.84,0.96,,,19.1,
PENIND,2092.48,12.84,,8.72,2.1,15.2
INSECTICID,2092.13,12.1,,3.79,18.6,-15.7
BLSE,2070.54,12.73,,5.77,35.2,11.7
TIRUMALCHM,2070.49,-12.35,,-3.56,-18.9,
TAJGVK,2070.4,39.56,,26.53,22.2,831.7
RANEHOLDIN,2070.28,9.86,,4.41,17.1,462.5
GMBREW,2054.05,15.55,,-11.85,,-10.6
DCXINDIA,2052.41,-0.53,,0.37,-62.3,
DPABHUSHAN,2048.58,40.87,,5.27,86.1,103.1
SHRINGARMS,2031.15,26.29,,6.01,106.5,67.3
ADOR,2028.65,,,10.53,5.2,73.0
MARSONS,2021.49,27.24,,20.43,66.0,153.1
INDNIPPON,2013.87,14.51,,14.82,,
SPANDANA,2007.68,-29.36,,4.74,256.0,
SPAL,2001.18,11.28,,8.85,-8.6,-39.1
GOCLCORP,1994.55,,,,-98.3,246.0
HGS,1989.21,,,-9.93,-6.6,
JAICORPLTD,1978.99,11.55,,20.11,2.6,-9.1
NUCLEUS,1976.5,13.56,,13.36,-1.8,-46.7
TCIEXP,1972.05,10.29,,6.78,6.8,-5.5
EXICOM,1971.73,-43.34,,-8.95,46.1,
STUDDS,1971.02,17.0,,15.48,11.9,6.1
VENKEYS,1962.65,9.07,,10.94,30.5,662.6
PFS,1960.25,,,84.14,-55.5,-62.4
PARACABLES,1957.01,,,4.54,13.1,8.1
LAOPALA,1951.6,11.22,,28.52,-11.3,-36.8
MTNL,1942.92,,,116.53,87.9,
MUKANDLTD,1939.42,48.88,,-2.8,14.7,5104.6
GRMOVER,1934.74,14.71,,4.86,105.0,137.8
ORIENTHOT,1934.59,9.41,,21.79,4.6,66.1
CEINSYS,1927.52,24.59,,22.0,19.9,68.1
NILKAMAL,1901.78,7.57,,6.07,8.0,22.0
VIDYAWIRES,1894.66,17.84,,4.49,57.7,17.7
HATHWAY,1890.47,1.86,,0.41,6.4,-69.6
COSMOFIRST,1887.03,10.12,,8.18,36.8,36.5
GOCOLORS,1886.35,8.53,,7.56,-4.2,-59.8
NGLFINE,1883.56,15.74,,10.96,57.2,1539.8
NDRAUTO,1879.91,18.77,,9.05,19.3,12.6
UEL,1868.64,,,-11.81,-27.4,
IPL,1852.98,12.55,,13.74,28.6,51.9
EIHAHOTELS,1845.46,15.31,,35.58,-9.1,-18.5
HITECH,1817.3,5.88,,2.61,101.7,-6.1
CANTABIL,1815.28,21.98,,19.47,15.7,30.2
SHALBY,1812.6,3.47,,3.78,8.5,
SAKAR,1808.89,10.0,,28.55,40.1,87.2
SURYODAY,1803.21,7.59,,17.96,73.0,
WALCHANNAG,1802.68,-4.01,,1.48,75.3,
RICOAUTO,1801.86,6.91,,3.31,24.3,-18.5
VIKRAN,1797.38,10.76,,14.08,82.2,5.3
ASIANTILES,1791.3,1.28,,-6.91,14.1,
BETA,1787.95,18.78,,13.71,0.2,-5.0
DLINKINDIA,1781.1,21.21,,7.49,20.0,0.5
ASIANENE,1779.13,11.6,,12.6,57.0,41.4
SHK,1771.92,5.25,,3.29,13.8,-98.2
SBC,1770.47,37.22,,3.81,47.0,
SAKSOFT,1762.26,19.06,,16.79,3.7,21.6
LANDMARK,1753.76,6.66,,3.03,17.2,967.5
JINDRILL,1737.71,12.36,,20.36,7.3,-36.6
KRSNAA,1733.2,10.89,,16.77,3.5,102.1
ARMANFIN,1731.68,6.26,,39.87,36.8,221.6
DELTACORP,1731.14,3.47,,9.25,-11.7,-90.1
JISLDVREQS,1723.02,-0.68,,10.8,4.3,
ASTEC,1714.84,-25.84,,-1.65,32.7,
KRISHNADEF,1701.85,25.42,,26.1,42.2,62.7
WINDLAS,1701.04,12.23,,7.25,17.7,-2.6
GOODYEAR,1690.78,10.17,,4.81,2.1,99.1
EMSLIMITED,1689.25,8.96,,13.08,-57.1,-87.9
MOTISONS,1682.37,13.96,,5.78,15.8,-21.6
JGCHEM,1681.87,13.52,,7.05,27.6,17.6
THEJO,1674.07,13.97,,10.88,18.3,4.0
ACCELYA,1667.86,,,14.57,-0.5,-29.3
NELCO,1648.74,2.59,,0.77,17.3,
BFINVEST,1647.21,3.65,,80.99,41.5,
ASALCBR,1646.29,14.56,,14.14,-1.6,4.9
MBEL,1640.44,19.23,,8.15,16.0,-17.0
SUMMITSEC,1639.06,1.14,,,,
DSSL,1635.57,31.04,,7.46,22.4,4.4
YATRA,1618.43,5.8,,-0.16,-14.8,-46.4
AMRUTANJAN,1611.76,16.62,,10.9,10.5,6.7
SDBL,1602.71,1.29,,-44.39,-79.3,
SOLARWORLD,1596.77,20.83,,9.51,235.5,345.7
GNA,1593.81,12.29,,12.6,,
WAAREEINDO,1585.1,150.63,,66.42,-57.0,4.8
ALGOQUANT,1580.6,28.37,,26.85,,2672.6
INDIANHUME,1571.76,9.86,,9.42,-10.4,-95.4
JAYBARMARU,1565.94,22.19,,8.63,25.4,286.9
KALAMANDIR,1565.15,11.78,,11.3,5.1,141.3
GANDHAR,1560.98,10.21,,5.11,13.7,268.0
GARUDA,1559.66,31.13,,32.1,82.7,90.8
DOLPHIN,1558.58,21.9,,16.19,121.9,171.3
DYCL,1540.74,20.32,,9.67,7.3,2.6
TINNARUBR,1537.92,22.08,,15.98,21.6,36.4
WENDT,1536.3,5.85,,9.99,-11.7,-60.5
NAVKARCORP,1535.9,1.55,,13.36,94.5,
ALLTIME,1534.32,8.21,,9.4,-1.7,-22.3
MOBIKWIK,1528.31,-11.02,,15.32,10.5,
ONEPOINT,1516.71,8.81,,14.3,43.5,18.4
ELECTHERM,1516.52,,,1.18,-1.8,-92.7
SMCGLOBAL,1512.71,8.18,,5.55,23.8,461.1
RACLGEAR,1508.47,16.91,,15.65,50.8,75.9
CLSEL,1492.02,14.61,,11.85,16.5,56.2
SUMEETINDS,1482.49,13.76,,3.21,9.3,-99.4
IZMO,1471.2,12.38,,9.64,82.3,149.7
ESAFSFB,1469.43,-8.91,,5.37,103.9,
SHRIRAMPPS,1467.12,7.16,,13.73,57.2,64.4
STEELXIND,1465.57,3.66,,14.91,-1.4,150.0
UGROCAP,1456.18,7.06,,25.77,56.1,-17.7
5PAISA,1451.85,7.05,,19.0,6.4,7.9
JYOTISTRUC,1449.1,10.81,,6.0,42.3,15.3
TIL,1445.06,,,7.8,7.8,
AQYLON,1442.46,,,-2.51,180.2,
SESHAPAPER,1436.76,4.09,,1.57,17.8,-4.1
VIDHIING,1434.17,15.57,,15.08,12.0,11.4
BHARATWIRE,1434.15,,,16.92,-17.4,-42.4
ARFIN,1431.1,9.45,,7.75,26.0,1393.8
GODAVARIB,1422.95,0.45,,12.81,-2.7,-26.5
INDSWFTLAB,1417.73,3.24,,7.33,-66.6,-94.8
DOLLAR,1409.11,11.81,,7.54,13.2,11.3
SPIC,1402.88,16.47,,6.03,-22.6,51.6
AURUM,1398.26,-2.93,,1.95,75.9,
SURAKSHA,1396.02,13.84,,16.47,31.2,-5.4
OMAXE,1395.04,,,-60.82,-35.6,
PASHUPATI,1394.83,6.53,,2.9,32.8,-76.1
SIGNPOST,1393.44,27.3,,19.54,46.1,2094.4
JAGSNPHARM,1391.7,16.7,,13.77,9.6,23.8
DCW,1379.26,4.57,,6.26,13.2,56.4
QUADFUTURE,1369.0,-15.45,,-19.03,-3.3,-26.1
PRECAM,1368.08,6.38,,13.29,-8.9,-29.0
BOROSCI,1360.71,8.17,,19.1,10.6,212.2
JAGRAN,1360.12,8.79,,4.86,-1.9,
IFGLEXPOR,1352.84,3.04,,3.79,7.7,69.3
SEPC,1344.35,3.12,,3.39,132.4,23.2
DIFFNKG,1343.04,13.01,,13.3,38.2,22.9
IGPL,1342.04,0.17,,8.82,9.2,47.9
SYNCOMF,1341.38,20.19,,14.42,-9.0,68.8
ALLCARGO,1333.02,0.37,,1.56,-87.0,
IMPAL,1329.87,,,7.48,,
GENESYS,1327.68,5.2,,16.31,10.7,-35.9
SULA,1327.09,4.37,,13.25,7.3,-34.2
FAZE3Q,1323.49,7.7,,9.39,31.6,12.5
BLUSPRING,1320.46,-3.04,,1.65,7.9,
DOLATALGO,1313.84,12.11,,61.44,-3.4,17.8
HUHTAMAKI,1313.7,,,6.07,4.1,-2.0
AYMSYNTEX,1313.13,1.12,,5.19,1.4,315.7
APEX,1309.84,,,3.98,14.5,
MCLOUD,1308.91,18.97,,17.92,31.5,32.3
GREENPOWER,1307.93,6.46,,-30.27,-6.9,
DEN,1295.85,4.42,,-2.17,-3.0,-37.7
GULPOLY,1283.47,16.09,,9.94,7.0,439.8
CAPITALSFB,1280.75,10.1,,7.1,12.0,16.7
DHANBANK,1279.22,7.16,,35.63,33.7,29.8
LINCOLN,1274.09,12.3,,11.31,11.4,0.6
PLATIND,1273.91,12.03,,10.38,36.8,137.1
ASIANHOTNR,1269.19,-17.29,,18.01,21.4,-90.3
SKMEGGPROD,1268.68,29.68,,25.75,58.9,415.1
ATULAUTO,1264.63,,,9.27,25.3,56.1
HARIOMPIPE,1264.08,12.39,,9.19,26.9,74.6
AWHCL,1262.26,10.58,,12.37,17.8,-18.7
JARO,1260.5,19.89,,25.62,-1.8,3.9
TTKHLTCARE,1259.08,6.03,,4.08,14.5,34.7
ALLDIGI,1252.06,32.22,,17.95,5.9,49.7
UNITECH,1250.59,,,183.04,29.2,
LAXMIDENTL,1246.21,12.77,,12.33,21.9,137.9
WEL,1241.72,8.76,,4.7,-19.2,-38.2
AEROENTER,1241.45,9.56,,16.25,16.0,29.3
DIGITIDE,1239.71,0.61,,2.69,9.2,
UDS,1232.86,8.19,,5.05,4.8,-18.5
PUNJABCHEM,1232.59,16.23,,9.02,3.1,55.8
TBZ,1226.31,27.06,,12.57,56.7,614.1
ICEMAKE,1224.11,9.46,,6.6,41.9,-13.6
EKC,1222.84,11.26,,7.0,-15.1,244.2
ROTO,1218.85,10.71,,10.79,-2.3,-55.0
EXPLEOSOL,1218.07,17.56,,12.86,11.9,73.2
MOL,1217.4,1.88,,-2.02,-14.3,-59.0
SALASAR,1216.57,2.18,,1.75,-10.5,
GPTHEALTH,1215.81,16.32,,12.99,24.6,13.7
NELCAST,1215.65,,,8.15,27.3,4.4
ANDHRAPAP,1215.37,0.96,,-0.38,29.4,0.0
BLKASHYAP,1211.97,0.29,,7.03,23.6,
IKIO,1203.26,7.09,,10.61,47.3,
PNGSREVA,1199.31,21.01,,21.97,138.9,1174.0
INDOBORAX,1198.4,13.93,,19.34,20.4,42.0
IGARASHI,1194.01,2.61,,1.98,19.3,-47.4
NIITLTD,1191.38,0.57,,-0.28,25.5,
RUPA,1189.27,6.96,,11.6,6.3,18.3
GALAPREC,1188.76,12.92,,20.61,25.6,10.8
INDORAMA,1184.15,33.86,,8.8,0.3,25.5
KROSS,1177.23,11.95,,14.12,22.3,31.0
RATNAVEER,1173.61,12.36,,8.62,22.6,38.0
HARDWYN,1163.94,,,9.12,25.2,75.0
ORIENTTECH,1160.49,1.37,,-1.03,-29.4,
SHREEPUSHK,1156.56,12.2,,7.47,-0.6,-24.6
SOLEX,1156.08,47.06,,9.94,248.1,304.6
EXCELINDUS,1153.3,4.6,,4.39,13.5,-1.0
MANAKCOAT,1141.63,14.14,,5.12,9.4,-4.4
FINOPB,1133.52,6.76,,1.73,-31.1,-70.5
HMAAGRO,1132.74,18.64,,-0.9,5.3,
JPOLYINVST,1131.71,54.8,,99.72,504.1,-47.2
JINDALPHOT,1131.69,,,26.67,-96.4,-99.5
BHARATSE,1131.59,19.91,,3.55,46.2,16.6
MWL,1127.29,,,6.76,29.8,74.9
RGL,1123.25,6.09,,7.52,50.4,27.0
SALZERELEC,1122.68,9.31,,5.17,26.2,
ANDHRSUGAR,1122.37,4.97,,5.24,29.0,-18.6
MANALIPETC,1121.43,10.94,,5.27,27.1,170.3
BUTTERFLY,1121.23,13.08,,5.96,16.7,26.7
PAUSHAKLTD,1121.03,8.22,,16.0,5.3,30.1
BCLIND,1115.42,14.19,,7.72,-19.5,-7.7
ARIHANTSUP,1110.66,,,16.31,18.5,-46.6
MONTECARLO,1109.68,12.88,,3.06,36.1,
SRM,1103.14,32.25,,15.45,95.9,126.6
MADRASFERT,1101.45,269.55,,4.61,26.0,
OAL,1100.47,0.5,,4.15,11.5,180.9
GKWLIMITED,1099.39,-0.09,,9.93,,
CENTENKA,1096.68,6.92,,8.44,8.9,483.5
TARSONS,1092.59,2.27,,4.29,7.3,-58.9
RSL,1089.64,19.34,,8.28,2.8,56.7
SHREDIGCEM,1089.06,6.84,,7.38,-3.7,-56.5
VHL,1082.38,,,91.81,-11.4,-18.3
BALAJITELE,1077.01,-7.78,,-39.42,-28.1,
CREST,1070.89,3.75,,43.98,-32.7,8.1
AVTNPL,1066.14,12.16,,14.37,43.5,54.3
CNL,1058.75,20.18,,3.96,83.2,157.1
ALICON,1049.72,5.64,,3.9,16.6,-15.9
IRMENERGY,1048.66,5.46,,6.39,4.4,190.6
AMNPLST,1046.37,13.26,,14.21,-6.4,19.9
DAMCAPITAL,1041.13,24.4,,0.78,-24.5,-96.6
KRISHIVAL,1036.79,13.0,,7.14,-18.4,-2.1
KAPSTON,1032.26,27.41,,5.76,16.7,24.4
CENTRUM,1031.58,-19.12,,-119.07,-25.9,
BIRLANU,1028.58,-10.3,,-4.63,8.7,
GANDHITUBE,1028.24,23.51,,39.49,8.9,-21.5
GKSL,1025.59,11.93,,15.67,212.6,224.0
BAJAJHCARE,1022.67,4.27,,9.83,-0.9,
STEL,1022.61,1.18,,16.4,-98.8,-94.8
AFSL,1021.93,8.36,,0.18,718.9,
MICEL,1016.35,-5.75,,24.48,13.3,
UNIECOM,1013.32,15.55,,11.59,16.6,-1.7
WEALTH,1002.74,25.64,,73.83,,
TNPL,996.15,11.25,,4.91,-4.5,984.8
MACPOWER,995.56,21.3,,14.22,24.8,17.3
RSWM,985.13,3.91,,2.74,-9.1,2242.0
SWELECTES,984.84,6.29,,11.25,-7.5,13.3
PRIMESECU,981.92,5.65,,-1.94,197.7,
MUNJALAU,979.4,10.32,,0.12,20.0,
GCSL,977.23,9.79,,23.83,-29.2,
RAJOOENG,972.71,18.71,,-0.36,-11.7,-90.3
CONTROLPR,968.21,10.1,,15.33,14.4,-83.2
THEMISMED,965.9,0.29,,1.52,6.7,
MASTERTR,962.35,17.29,,29.29,47.9,42.8
WANBURY,959.26,,,5.49,-19.2,
HIMATSEIDE,955.89,2.97,,-0.68,-6.0,-88.4
WCIL,955.83,4.58,,2.67,15.7,-38.6
INDOAMIN,950.24,,,7.16,7.2,6.6
DHARMAJ,938.21,12.96,,2.49,11.4,
MENONBE,936.71,22.25,,21.39,-27.4,29.2
ORICONENT,935.14,1.51,,-175.46,-69.7,
ARIHANT,932.0,17.29,,7.36,120.0,-65.8
BIL,930.75,2.87,,5.59,29.7,
YUKEN,930.5,4.27,,7.54,6.8,-29.1
ESTER,923.12,-3.53,,7.16,7.7,285.7
AMBIKCO,920.06,7.7,,13.97,57.8,54.7
NDTV,916.7,-341.22,,-63.51,16.5,
EXCELSOFT,914.57,9.14,,24.41,16.1,-38.6
BHAGERIA,913.25,7.74,,8.09,48.1,-24.9
SYSTMTXC,911.01,4.51,,-53.22,-62.4,
MAFATIND,909.38,,,,,
SURAJEST,909.15,9.53,,49.22,-27.6,-34.2
DHAMPURSUG,908.46,5.56,,13.58,-20.9,-5.3
CIFL,906.08,4.76,,14.39,-7.0,
GRPLTD,903.68,1.74,,2.74,-9.9,
HEXATRADEX,902.81,-0.19,,20.16,-3.1,
HEALTHX,893.56,-0.18,,-3.45,34.8,
FINKURVE,891.6,9.41,,24.68,-12.1,86.7
EIMCOELECO,888.62,8.61,,15.68,4.0,-57.2
MAMATA,888.46,8.45,,3.41,-33.6,-100.0
UTTAMSUGAR,882.95,11.75,,18.32,-17.1,-16.8
GHCLTEXTIL,876.43,4.79,,7.22,28.2,94.0
ROHLTD,868.28,12.75,,17.59,30.5,-39.2
TVSELECT,858.19,1.33,,2.56,2.5,
SRHHYPOLTD,856.87,9.41,,7.03,1.7,-17.4
SGIL,855.82,4.26,,2.18,22.1,-89.7
RAMASTEEL,854.01,2.56,,1.14,-16.0,-54.6
BORANA,852.65,35.01,,19.91,28.0,18.6
TEMBO,847.75,27.72,,13.15,26.3,90.8
KOKUYOCMLN,847.67,,,2.06,13.1,-33.9
NCLIND,836.94,13.76,,11.91,62.2,562.8
PRECOT,836.82,7.72,,11.27,,
GICHSGFIN,836.63,7.61,,58.45,4.3,52.4
PROSTARM,833.66,16.9,,9.48,27.4,-12.3
MAXIND,833.12,-31.77,,0.49,67.4,
DVL,830.02,2.72,,-48.73,946.8,
KABRAEXTRU,829.77,,,-6.0,-8.9,
KAMDHENU,825.64,21.99,,15.81,5.0,-8.0
SUDARCOLOR,823.21,8.15,,-0.21,-4.2,23.2
DWARKESH,820.51,3.77,,21.67,-5.7,23.7
SUYOG,817.03,14.17,,46.03,11.9,
STANLEY,816.5,2.74,,0.69,-10.1,
TNPETRO,814.24,10.1,,3.36,-72.6,-69.9
DECCANCE,811.24,3.88,,1.48,79.9,-40.6
KELLTONTEC,810.39,13.66,,6.71,9.6,-9.3
PVP,809.86,-3.18,,-6.43,117.8,
MATRIMONY,806.14,15.25,,6.81,7.9,21.2
KRYSTAL,805.62,13.74,,5.73,-11.7,11.3
GANESHCP,803.01,14.19,,5.21,-0.9,88.1
AHCL,800.46,17.36,,29.48,4.0,-54.8
ANUHPHR,797.68,12.1,,8.35,2.0,-6.0
ASAL,795.28,123.29,,5.22,35.9,169.1
RMDRIP,795.22,35.85,,19.39,26.1,-2.4
EMKAY,791.55,4.45,,6.49,94.7,-37.5
ELDEHSG,791.16,6.2,,10.58,63.7,50.0
BAJAJINDEF,786.08,8.97,,10.15,28.4,-32.8
VALIANTORG,784.97,4.48,,7.45,6.9,269.1
GANESHBE,779.5,12.62,,12.93,11.5,
SARLAPOLY,777.7,-2.65,,0.52,2.2,
PDMJEPAPER,770.42,14.95,,14.49,5.5,4.5
NRAIL,763.22,5.5,,6.52,30.1,
STERTOOLS,762.18,5.72,,-0.97,11.1,-81.8
BLAL,761.26,0.96,,80.23,,
ARIHANTCAP,756.65,7.62,,4.87,3.5,-92.9
HERANBA,755.77,-9.58,,-15.26,-4.6,
FAIRCHEMOR,745.93,1.96,,4.54,-3.2,519.6
MAANALU,745.19,5.75,,-0.11,3.5,-60.2
BIRLAMONEY,742.08,21.8,,27.53,42.9,100.6
SCODATUBES,737.78,14.37,,10.6,-0.1,-32.5
GTPL,732.25,0.96,,-2.12,6.3,
GLOSTERLTD,731.89,1.67,,6.47,35.9,
ZUARIIND,728.3,2.45,,12.23,3.1,
PATELRMART,726.23,15.67,,3.23,52.1,3.8
SOUTHWEST,723.38,17.65,,22.09,3.6,20.2
AGARIND,723.28,,,1.84,-24.7,-89.9
VLSFINANCE,721.96,0.95,,106.59,,
UNIENTER,716.81,0.8,,-3.8,-64.1,
RITCO,716.75,9.4,,2.85,13.4,-55.2
CONSOFINVT,715.45,4.95,,99.18,-35.2,-39.9
SANDESH,714.17,,,35.66,2.6,-3.0
MVGJL,714.15,14.82,,4.76,7.0,5.1
CHEMCON,714.01,4.8,,7.49,37.4,61.1
STCINDIA,709.56,,,59.24,,922.2
XCHANGING,702.4,15.75,,37.17,1.1,10.6
ADVENTHTL,700.34,6.51,,31.0,6.8,-88.0
ATL,699.59,14.03,,11.2,11.9,
KOTHARIPET,697.57,21.37,,14.23,-0.0,3.2
BIGBLOC,696.84,-5.74,,2.56,34.6,-9.6
INNOVISION,687.61,19.33,,6.21,6.3,
COMSYN,685.36,16.07,,9.1,2.8,-25.2
MUKKA,684.3,11.59,,7.55,-0.3,53.3
MODIS,681.68,22.25,,14.5,158.2,192.2
JAYAGROGN,677.55,8.02,,4.28,2.0,54.0
KSOLVES,675.68,136.94,,27.32,29.1,65.8
PVSL,673.53,,,0.92,30.8,
GEECEE,673.46,5.2,,86.11,103.4,505.9
VAKRANGEE,670.5,5.11,,0.95,-10.2,-0.3
RADHIKAJWE,668.01,20.76,,5.5,23.4,-45.1
INNOVANA,665.36,14.92,,1.34,22.6,-84.3
APTECHT,665.06,9.41,,0.89,-6.5,-63.5
ADSL,664.34,5.39,,-5.67,31.0,
MINDTECK,663.82,11.19,,9.19,-0.1,49.3
SAURASHCEM,661.47,1.51,,3.21,-6.6,-43.6
CCCL,661.2,26.56,,-8.66,129.5,
KILITCH,660.88,12.36,,23.62,46.3,26.5
MMP,660.21,9.26,,7.51,11.9,65.6
VISAKAIND,657.02,10.87,,7.12,12.7,174.2
FABTECH,654.98,12.94,,13.2,17.5,23.4
KUANTUM,652.56,3.44,,10.18,8.5,-45.2
20MICRONS,643.52,14.48,,10.19,14.8,15.8
MALLCOM,637.76,9.74,,6.8,6.6,-78.8
TVTODAY,635.41,2.27,,-1.56,-14.3,46.6
CHEVIOT,633.32,7.62,,10.89,5.1,
ADVANCE,633.09,17.18,,10.06,37.9,228.1
MAGADSUGAR,632.71,7.41,,24.46,-18.2,-32.1
TREL,627.26,3.12,,38.28,5.1,-69.6
INDOFARM,626.93,4.54,,11.53,3.1,-44.6
MANBA,626.74,11.65,,41.16,-3.3,38.5
